KEY,LAT,LON,STATUS,BUSINESS_NAME,LOCATION,DESCRIPTION
EB07,49.28758782,-123.1425265,open,Aaron Baker Hot Dogs,South Side of 1800 Beach Av - West of Davie St,Hot Dogs
DT57,49.28652822,-123.1135675,open,Arturo's Mexico To Go,North Side of 700 W Cordova St - 14 metres East of Howe St,Mexican Cuisine
C18,49.28695198,-123.1181924,open,Aussie Pie Guy,Authorised Parking Meter - 1000 W Pender St,Australian Pies
GM16,49.28301997,-123.1171904,open,Big Dogs Street Hots,East Side of 600 Granville St - 80 Metres North of W Georgia St,Western
DT74,49.28231471,-123.1213885,open,Big Orange,South Side of 800 Robson St- 15 Metres East of Hornby St,Juice and Smoothies
DT70,49.2849051,-123.1185811,pending,Chawalla,West Side of 600 Hornby St - 6 Metres South of Dunsmuir St,Indian Cuisine
GT02,49.28398975,-123.1066273,open,Chou Chou Crepes,North Side of 100 Water St - 10 Metres West of Abbott St,French Crepes
C22,49.28786418,-123.1192501,open,Culver City Salads,Authorised Parking Meter - 1000 W Hastings St,Vegan Salads and Treats
DT71,49.29124169,-123.1352712,open,Didi's Greek,South Side of 1700 Robson St - 10 Metres East of Denman St,Greek Cuisine
DT54,49.28723546,-123.1128709,open,Dim Sum Express,East Side of 200 Howe St - 100 Metres North of W Cordova St,Dim Sum
OD02,49.27302392,-123.1006565,open,Disco Cheetah,North Side of 100 Terminal Av - 15 Metres West of Main St,Korean Tacos
DT35,49.27929593,-123.1291301,open,Door to Door,West Side of 1100 Burrard St - 10 Metres North of Davie St,Hot Dogs
C2,49.28686899,-123.1140652,open,Dougie Diner,Authorised Parking Meter North Side of 800 W Cordova St,Western
DT49,49.28192857,-123.1210986,open,Eat Chicken Wraps,West Side of 800 Howe St - 5 Metres South of Robson St,Wraps and Sandwiches
DT05,49.28080124,-123.1152374,open,Eduardo Becerra Box,North Side of W Georgia St - 10 Metres West of Homer St,Seafood and Sandwiches
OD04,49.26164585,-123.1255031,open,Emelles,VGH Complex - West Side of 2700 Laurel St,Sandwiches
C23,49.28645041,-123.1137005,open,Fat Duck Mobile Eatery,Authorised Parking Meter - South Side of 700 W Cordova St,International Comfort Foods
C9,49.288672,-123.118453,open,Feastro - The Rolling Bistro,Authorised Parking Meter - Thurlow St at W Cordova St,Local Meats and Seafood
C16,49.28243866,-123.1203452,open,Feastro The Rolling Bistro,Authorised Parking Meter West Side of 700 Howe St,Local Meats and Seafood
DT75,49.28238629,-123.1214916,open,Finest at Sea,South Side of 800 Robson St  - 28 Metres East of Hornby St,Seafood
C8,49.28205453,-123.1245114,open,Gourmet Syndicate,Authorised Parking Meter East Side of 900 Burrard St,Comfort Food
